id;nombre;referencias;precioa;preciob;precioc;costo;pesado;iva;existencia
6;Aceite S.S 900Cm;7,70211E+12;1500;0;0;0;0;DIAN IVA 19%;-1
21;MASCARILLA RESTAURADORA KIDS ROCIO DE ORO 250ML;7,70919E+12;24000;0;0;0;0;DIAN IVA 19%;-19
22;Ak Detergente Liquido 900ml;7,70231E+12;10000;9750;0;0;0;DIAN IVA 19%;-72
27;AK LAVAPLATO 500GR;7,70231E+12;4800;4650;0;0;0;DIAN IVA 19%;-547
9618;MAIZENA FRESA 28GR;7,70205E+12;1600;1500;0;0;0;DIAN IVA 19%;-11
9666;CREMA PEINAR SAVITAL 95ML MULTIVITAMINA;7,70201E+12;3200;3100;0;0;0;DIAN IVA 19%;-116
9689;TINTE KERATON 10.11;7,70723E+12;9500;9200;0;0;0;DIAN IVA 19%;0
9667;CAREY EXFOLACION NATURAL 110GR;7,70231E+12;2600;2500;0;0;0;DIAN IVA 19%;-936
9668;SHAMPOO IKI PETS PERROS 240ML;7,70737E+12;14500;0;0;0;0;DIAN IVA 19%;-3
9692;TINTE KERATON 9.11;7,70723E+12;9500;9200;0;0;0;DIAN IVA 19%;-1
40;ALUMINIO TUC CAJA 7MT;7,70225E+12;3800;3600;0;0;0;DIAN IVA 19%;-6
46;4FDGD3;41654;3800;0;0;0;0;DIAN IVA 5%;-4
48;CAFE AROMA INSTANTANEO 170GR;7,7072E+12;23000;0;0;0;0;DIAN IVA 5%;-9
49;CAFFE AROMA INSTANTANEO 50GR;7,7072E+12;7500;7200;0;0;0;DIAN IVA 5%;0
51;CAFE AROMA INSTANTANEO 85GR;7,7072E+12;10900;10700;0;0;0;DIAN IVA 5%;0
53;CAFE AROMA INSTANTANEO 170GR;7,7072E+12;22300;22000;0;0;0;DIAN IVA 5%;-3
56;Aromatel Manzana 425ml;7,70219E+12;2700;2600;0;0;0;DIAN IVA 19%;-671
57;AROMATEL FLORAL 400ML;7,70219E+12;2700;2600;0;0;0;DIAN IVA 19%;-1154
65;ARROZ IDEAL 1.000GR;7,70909E+12;3700;3584;0;0;0;Excluido;-815
70;ARROZ ZULIA 1.000GR;7,70722E+12;4000;3934;0;0;0;Excluido;-9329
79;AXION 450GR LIMON;7,50955E+12;5800;5700;0;0;0;DIAN IVA 19%;-367
80;AXION LIMON 235GR;7,70201E+12;3200;3060;0;0;0;DIAN IVA 19%;-1606
82;JABON COCO PRENDA DELICADA AZULK 180GR ;7,70231E+12;2800;2650;0;0;0;DIAN IVA 19%;-160
83;JABON COCO BEBE 180GT;7,70231E+12;2800;2650;0;0;0;DIAN IVA 19%;-142
90;BALANCE WOMEN PRACTI;7,70203E+12;4000;3850;0;0;0;DIAN IVA 19%;-942
96;BATILADO FRESA 82GR;7,70235E+12;4500;4400;0;0;0;DIAN IVA 19%;-64
107;CASERO VAINILLA BIMBO 220GR;7,70533E+12;6000;5850;0;0;0;DIAN IVA 19%;-66
120;BLANCOX BLANQUEADOR 500ML;7,70381E+12;1500;1355;0;0;0;DIAN IVA 19%;-2545
135;Bolsa Aseo 150L;ba150;3800;3700;0;0;0;DIAN IVA 19%;-54
136;Bolsa Aseo 200L;ba200;6400;0;0;0;0;DIAN IVA 19%;-572
138;BOLSA DE HIELO ;bhg;1200;1050;0;0;0;DIAN IVA 19%;-104
141;TALCO BOROCANFOR 60GR;75930516;2200;2000;0;0;0;DIAN IVA 19%;-77
146;BETUM BUFALO PASTA NEGRO 15GR;7,70238E+12;2200;2100;0;0;0;DIAN IVA 19%;-113
147;BETUM BUFALO  PASTA NEGRO 36GR;7,70238E+12;5000;4800;0;0;0;DIAN IVA 19%;-252
164;CAREFREE PROTECTORES 15UND;7,70203E+12;1600;1500;0;0;0;Excluido;-311
165;Carey Jabon 3U;7,70231E+12;7500;0;0;0;0;DIAN IVA 19%;0
170;CEPILLO COLGATE KIDS ;7,50955E+12;2300;0;0;0;0;DIAN IVA 19%;-31
172;CEPILLO FULLER MANO ;7,70286E+12;3700;3600;0;0;0;DIAN IVA 19%;-3
174;CEPILLO ORAL B ;7,50044E+12;2500;2267;0;0;0;DIAN IVA 19%;-99
175;CEPILLO ORAL B PRO PROFILE PASCK DUO;7,50109E+12;14000;0;0;0;0;DIAN IVA 19%;-35
185;CHOCOLISTO 300GR;7,70201E+12;13200;13000;0;0;0;DIAN IVA 19%;-101
