Barcode,Fila,ID,Nombre,PrecioA,PrecioB,Problema
"1,79586E+12",3017,10076,MECHERA SMAT X25UNID,8700,0,Duplicado 1/2
"1,79586E+12",3441,10510,MECHERA CON LINTERNA SMAT X25UNID,12000,0,Duplicado 2/2

"4,0058E+12",2250,9089,PRESERVATIVO DUO RETARDANTE X3UNID,3000,0,Duplicado 1/2
"4,0058E+12",2990,10051,CONDON DUO 3G,3000,0,Duplicado 2/2

"4,0059E+12",2003,8864,NIVEA MEN ROLLON BLACK Y WHITE 50ML,8400,0,Duplicado 1/3
"4,0059E+12",2005,8866,ANTITRASPIRANTE NIVEA BLACK Y WHITE 150ML,14500,0,Duplicado 2/3
"4,0059E+12",3009,10105,NIVEA MEN BLACK WHITTE 9G,1000,0,Duplicado 3/3

"4,89705E+12",3339,10469,CHOCO HAPPY BON BONE CORAZON,16000,0,Duplicado 1/4
"4,89705E+12",3401,10470,CHOCO HAPPY BON BON CORAZON ,7500,0,Duplicado 2/4
"4,89705E+12",3409,10471,CHOCO HAPPY BON BON CORAZON ,10500,0,Duplicado 3/4
"4,89705E+12",3412,10472,CHOCO HAPPY CORAZON ,5200,0,Duplicado 4/4

"5,90135E+12",2849,9933,CREMA DE MANOS DELIA ,2400,2300,Duplicado 1/2
"5,90135E+12",5598,12738,BALSAMO PARA PIES Y PIERNAS CANSADOS 250ML,13200,12600,Duplicado 2/2

"5,90438E+12",3171,10768,ACEITUNAS VERDES 180GR,3300,0,Duplicado 1/2
"5,90438E+12",3670,10769,ACEITUNAS RELLENAS VERA,3300,0,Duplicado 2/2

"6,06111E+11",1539,8400,ARROCILLO GRANOS RINCON 500GR,1400,1300,Duplicado 1/2
"6,06111E+11",1544,8405,ALPISTE GRANOS RINCON 500GR,3200,0,Duplicado 2/2

"6,08875E+11",54,242,COMPOTA HEINZ MANZANA 113GR,3500,3250,Duplicado 1/6
"6,08875E+11",967,6267,COMPOTA HEINZ PERA 113GR,3500,3250,Duplicado 2/6
"6,08875E+11",3012,10071,COMPOTA HEINZ CIRUELA 113GR,3500,3250,Duplicado 3/6
"6,08875E+11",4319,11450,COMPOTA HEINZ COCTEL 113GR,3500,3250,Duplicado 4/6
"6,08875E+11",4566,11694,COMPOTA HEINZ MELOCOTON 113GR,3500,3250,Duplicado 5/6
"6,08875E+11",4954,12085,COMPOTA HEINZ GUAYABA 113GR,3500,3250,Duplicado 6/6

"6,14143E+11",5243,12381,ARROZ PROVICIA 1.000GR,3700,3600,Duplicado 1/2
"6,14143E+11",5460,12599,LAVALOZA ANGEL CLEAN LIMON 3K,19000,18500,Duplicado 2/2

"6,45667E+11",654,4098,PLATOS DARNEL 23CM X20UNID,4600,4480,Duplicado 1/8
"6,45667E+11",655,4099,PLATOS DARNEL 15.5  X20UNID,2300,2180,Duplicado 2/8
"6,45667E+11",3549,10777,CUCHARA DULCERA TAMI X20UNID,1600,1470,Duplicado 3/8
"6,45667E+11",3923,11033,PLATOS DARNELL X20UNID 26CM,5200,5050,Duplicado 4/8
"6,45667E+11",4853,11978,CUCHARA TAMI X20UNID,2100,2000,Duplicado 5/8
"6,45667E+11",4854,11979,TENEDOR X20UNID TAMI,1900,1750,Duplicado 6/8
"6,45667E+11",5049,12182,CUCHARA DULCERA TAMI X100UNID,2800,2700,Duplicado 7/8
"6,45667E+11",5501,12640,TENEDOR TAMI X100UNID,2700,2600,Duplicado 8/8

"6,5024E+11",315,1361,MEDICASP SHAMPOO 100ML,28000,0,Duplicado 1/24
"6,5024E+11",1139,7343,VANART COCO KERATINA 50ML,1000,0,Duplicado 2/24
"6,5024E+11",1143,7364,SHAMPOO VANART BONDADES DEL CHILE 600ML ,6200,0,Duplicado 3/24
"6,5024E+11",1337,8198,SHAMPOO VANART ANTI ESPONJADO COCO KERATINA 600ML,12800,0,Duplicado 4/24
"6,5024E+11",1931,8792,GOICOECHEA DOBLE MENTOL 400ML,13800,0,Duplicado 5/24
"6,5024E+11",2485,9344,SHAMPOO TIO NACHO ACLARANTE 1LITRO,33500,0,Duplicado 6/24
"6,5024E+11",3107,10438,SHAMPOO VANART COCO KERATINA  600ML,7900,7500,Duplicado 7/24
"6,5024E+11",3274,10335,SHAMPOO TIO NACHO HERBOLARIA MILENARIA 415ML,30000,29000,Duplicado 8/24
"6,5024E+11",3275,10336,SHAMPOO TIO NACHO ANTI CANAS 415ML,30000,29000,Duplicado 9/24
